# Skipped 171 functions
# Format: address | function_name | reason
#================================================================================

0x3706e | malloc | library function
0x3707e | _nmalloc | library function
0x370f0 | int386 | library function
0x37119 | printf | library function
0x3713b | __null_int23_exit | library function
0x3713c | exit | library function
0x37165 | __open_flags | library function
0x37214 | sub_37214 | library function
0x372f9 | _fsopen | library function
0x37324 | fopen | library function
0x37339 | sub_37339 | library function
0x3739e | freopen | library function
0x3759c | fclose | library function
0x375c8 | __shutdown_stream | library function
0x375ec | sub_375EC | library function
0x375ff | __MkTmpFile | library function
0x3767e | __doclose | library function
0x3771c | memmove | library function
0x3776e | free | library function
0x3777e | _nfree | library function
0x377a3 | fwrite | library function
0x37910 | memset | library function
0x37932 | abs | library function
0x37940 | fseek | library function
0x37ae5 | outp | library function
0x37af4 | __CHP | library function
0x37b13 | sub_37B13 | library function
0x37b29 | sprintf | library function
0x37b55 | strlen | library function
0x3ca4c | sqrt | library function
0x3ca86 | IF@DSQRT | library function
0x3cb06 | IF@DCOS | library function
0x3cb1f | IF@DSIN | library function
0x3cba9 | sub_3CBA9 | library function
0x3cbd5 | cos | library function
0x3cbe8 | sin | library function
0x3cbfb | IF@DTAN | library function
0x3cc77 | sub_3CC77 | library function
0x3cc7d | rand | library function
0x3cc9f | srand | library function
0x3ccb4 | start | library function
0x3cf26 | memcpy | library function
0x3cf9b | read | library function
0x3d074 | open | library function
0x3d093 | sopen | library function
0x3d253 | __set_binary | library function
0x3d2c0 | strcmp | library function
0x3d36c | close | library function
0x3d3a6 | filelength | library function
0x3d5c0 | __MemAllocator | library function
0x3d670 | __MemFree | library function
0x3d77b | __LastFree | library function
0x3d79e | sub_3D79E | library function
0x3d842 | __ExpandDGROUP | library function
0x3da42 | __nmemneed | library function
0x3da49 | segread | library function
0x3da76 | int386x | library function
0x3da97 | sub_3DA97 | library function
0x3dab1 | __fprtf | library function
0x3db31 | tolower | library function
0x3db52 | __allocfp | library function
0x3dbe7 | __freefp | library function
0x3dc1a | __purgefp | library function
0x3dc3c | __chktty | library function
0x3dc69 | __ioalloc | library function
0x3dce0 | __qread | library function
0x3dd11 | fgetc | library function
0x3dd8a | __filbuf | library function
0x3ddb5 | __fill_buffer | library function
0x3de66 | __flush | library function
0x3df03 | ftell | library function
0x3df37 | remove | library function
0x3df47 | fputc | library function
0x3dfef | __delay_init | library function
0x3e01d | __delay | library function
0x3e060 | __STOSB | library function
0x3e097 | __STOSD | library function
0x3f46b | fprintf | library function
0x3f48b | getenv | library function
0x3fe5f | isatty | library function
0x3fe7f | setbuf | library function
0x3fea7 | time | library function
0x3ff35 | putchar | library function
0x3ff4a | sub_3FF4A | library function
0x3ff8b | _asctime | library function
0x4007b | asctime | library function
0x40090 | _ctime | library function
0x400b3 | ctime | library function
0x400cc | strcpy | library function
0x46013 | __math87_err | library function
0x4609b | __CMain | library function
0x460ea | __InitRtns | library function
0x4612d | __FiniRtns | library function
0x46186 | __sys_init_387_emulator | library function
0x46306 | __sys_fini_387_emulator | library function
0x463f2 | __init_8087 | library function
0x46425 | __chk8087 | library function
0x46464 | __Init_Argv | library function
0x46517 | sub_46517 | library function
0x465f2 | _dosret0 | library function
0x4660a | _dosretax | library function
0x46632 | _set_errno | library function
0x466a2 | __IOMode | library function
0x466f4 | __SetIOMode | library function
0x46728 | sbrk | library function
0x467c5 | __brk | library function
0x46870 | __int386x_ | library function
0x468a7 | sub_468A7 | library function
0x468cb | _DoINTR_ | library function
0x46c8d | __full_io_exit | library function
0x46d00 | __flushall | library function
0x46d53 | __qwrite | library function
0x46dd0 | unlink | library function
0x46f3a | toupper | library function
0x46f4f | strnicmp | library function
0x47006 | strncpy | library function
0x47039 | setvbuf | library function
0x470b1 | __getctime | library function
0x4726f | tzset | library function
0x4728a | sub_4728A | library function
0x472b3 | sub_472B3 | library function
0x47396 | sub_47396 | library function
0x47488 | __parse_tz | library function
0x47678 | putchar_0 | library function
0x4768d | __leapyear | library function
0x476c1 | __isindst | library function
0x47922 | sub_47922 | library function
0x47952 | div | library function
0x4997e | strncmp | library function
0x499b0 | __math1err | library function
0x499da | __math2err | library function
0x49ad8 | _EFG_Format | library function
0x49bb7 | sub_49BB7 | library function
0x49c03 | __cnvs2d | library function
0x4a0c4 | __int7_pl3 | library function
0x4a0e8 | __int7 | library function
0x4a104 | sub_4A104 | library function
0x4a238 | sub_4A238 | library function
0x4a274 | sub_4A274 | library function
0x4d031 | _set_matherr | library function
0x4d03e | _matherr | library function
0x4d0c3 | _SetMaxPrec | library function
0x4d0d0 | sub_4D0D0 | library function
0x4d174 | sub_4D174 | library function
0x4d1f0 | sub_4D1F0 | library function
0x4d25b | _FtoS | library function
0x4d49c | strtod | library function
0x4d656 | _dos_setvect | library function
0x4d695 | fputs | library function
0x4d70e | __set_EDOM | library function
0x4d715 | __set_ERANGE | library function
0x4d731 | __Nan_Inf | library function
0x4d7a0 | fabs | library function
0x4d7b4 | IF@DLOG | library function
0x4d7b6 | sub_4D7B6 | library function
0x4d800 | IF@DLOG2 | library function
0x4d804 | IF@DLOG10 | library function
0x4d81b | log10 | library function
0x4d841 | _Scale | library function
0x4d88c | _Scale10V | library function
0x4db0c | __ModF | library function
0x4db9c | __ZBuf2F | library function
0x4dbe7 | sub_4DBE7 | library function
0x4dc3a | __nmemneed_0 | library function
0x4dc41 | __log87_err | library function
0x4dc8c | __CmpBigInt | library function
0x4dcc6 | __Rnd2Int | library function
0x4dd31 | __Bin2String | library function
0x4de58 | sub_4DE58 | library function
0x4de5a | frexp | library function
0x4deb4 | modf | library function
